"site","plot","year","UTMx","UTMy","sekhabtype","terhabtype","pHjord","pHvand","Cijord","Nijord","CNratio","Fosfortal","NitratN","Nilyngfamilien","Pilyngfamilien","NPilyngfamilien","Nigraminoids","Pigraminoids","NPigraminoids","Nitoervemos","Pitoervemos","NPitoervemos","Niandetmos","Piandetmos","NPiandetmos","morlag","vegetationshoejde","vedplanterover1m5md","vedplanterunder1m5md","dvaergbuske5md","vandflade5md","lyngensbladbille5md","enebær5md","gråris5md","havtorn5md","hoeljer5md","hvasavneknippe5md","klokkelyng5md","vadegræs5md","graesningbin","hoesletbin","indikatorarter","antalarter","antalstjernearter","antaltostjernearter","antalenaarigearter","meanscore","andelstjerne","andeltostjerne","Ndep","nedbør","jordtype","slope","aspect","pEL","pEF","pER","pEN","pGC","pGS","pGR","pAnnualsGrime","pchmax","pslamean","psmmean","pEEL","pEEF","pEER","pEEN","pEES","pLDMC","pLM","pLS","pnaeringsratio","pEnaeringsratio","fEL","fEF","fER","fEN","fGC","fGS","fGR","fAnnualsGrime","fchmax","fslamean","fsmmean","fEEL","fEEF","fEER","fEEN","fEES","fLDMC","fLM","fLS","fnaeringsratio","fEnaeringsratio"
32,489049,2014,"511079","6257422","6230","{6230}","4.2","mv","mv","mv","mv","mv","mv","mv","mv","mv","1.6","0.1","16.","mv","mv","mv","mv","mv","mv","mv","32.5","31.83091418385536","6.366182836771071","0.2546473134708429","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","9","46","28","5","2","3.543478","0.6086956521739131","0.10869565217391304","13.8199","794.1","2","17.273233","34.048122","6.966666666666667","5.296296296296297","5.074074074074074","3.5217391304347827","3.526315789473684","4.7894736842105265","3.6842105263157894","0.","2.433222222222222","24.103468468468453","79.28426283309082","7.25","5.204545454545454","5.","3.9318181818181817","0.6818181818181818","293.9573518518519","22.653902358953943","525.4305320512818","0.6940653760710885","0.7863636363636364","6.552631578947368","5.25","4.2272727272727275","3.84375","3.3076923076923075","6.230769230769231","2.4615384615384617","0.022222222222222223","2.935390151515152","24.31040404040404","93.68035593296497","6.809523809523809","5.428571428571429","5.142857142857143","3.7142857142857144","0.047619047619047616","253.9257012195122","209.13073163510506","4973.552944527633","0.9092741935483871","0.7222222222222222"
32,489050,2014,"511079","6257462","6200","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","35.","44.5632798573975","0.12732365673542145","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","0","35","11","0","2","2.742857","0.3142857142857143","0.","13.8199","794.1","2","9.200974","15.267228","7.394736842105263","5.09375","4.857142857142857","4.434782608695652","4.444444444444445","3.7777777777777777","3.7777777777777777","0.","2.673093333333333","23.918379629629616","2.9545157943739633","7.2","5.18","5.12","4.14","0.48","327.4706","30.194967769406432","625.1243563321389","0.9130434782608695","0.80859375","6.354838709677419","5.653846153846154","4.6923076923076925","5.173913043478261","4.806451612903226","3.7419354838709675","3.4516129032258065","0.02857142857142857","3.309607503607504","23.653113333333327","142.77669762906297","6.5","5.625","5.53125","4.75","0.21875","247.7393844086021","295.1227008555864","6533.450014661351","1.1026372059871703","0.8587570621468926"
32,489057,2014,"511109","6257372","6210","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","33.75","12.732365673542143","0.","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","2","25","11","1","0","3.16","0.44","0.04","13.8199","794.1","2","11.106737","91.568382","6.5","5.9375","5.6","3.2222222222222223","4.722222222222222","4.555555555555555","2.7222222222222223","0.","0.6699444444444443","17.394435185185174","0.5330782596441325","6.722222222222222","5.25","5.416666666666667","4.277777777777778","0.4444444444444444","291.36245833333334","36.94349945589714","639.6280484617682","0.5753968253968254","0.7897435897435897","7.05","5.388888888888889","5.9","4.3125","4.1","5.","2.9","0.","1.3820476190476192","22.318468253968256","13.860268952309122","6.904761904761905","5.571428571428571","5.809523809523809","4.380952380952381","0.14285714285714285","273.2474693877551","77.34731993725002","889.1844712082625","0.7309322033898306","0.7540983606557377"
32,489063,2014,"511129","6257472","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","12.5","89.126559714795","1.2732365673542143","0.6366182836771072","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","4","47","15","1","3","2.574468","0.3191489361702128","0.02127659574468085","13.8199","794.1","2","18.485222","59.61433","6.911764705882353","7.125","4.052631578947368","3.8529411764705883","4.","3.6538461538461537","4.346153846153846","0.017857142857142856","15.338181818181821","21.824743589743598","0.27077559523809525","6.8","5.7","4.525","4.325","0.325","258.8127884615385","16.11947905511859","386.70512820512835","0.9507257448433919","0.9558011049723757","6.404761904761905","5.37037037037037","3.962962962962963","4.314285714285714","4.194444444444445","5.111111111111111","2.6944444444444446","0.043478260869565216","6.336155303030304","23.556156249999994","134.12087736930303","6.585365853658536","5.365853658536586","4.878048780487805","4.219512195121951","0.12195121951219512","248.22776282051285","72.38506461399722","1674.3550523136782","1.0886515353805073","0.865"
32,489064,2014,"511129","6257492","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","35.","1.2732365673542143","0.12732365673542145","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","6","31","11","2","1","3.129032","0.3548387096774194","0.06451612903225806","13.8199","794.1","2","13.152484","58.760532","6.631578947368421","6.055555555555555","5.636363636363637","5.108108108108108","4.48936170212766","3.2127659574468086","4.297872340425532","0.","0.6972222222222219","26.560780141843974","0.40282858156998474","6.9787234042553195","5.23404255319149","5.531914893617022","4.9787234042553195","0.3829787234042553","259.9667819148936","19.160740060262427","501.17021276595744","0.9062772449869224","0.9","6.925925925925926","5.0588235294117645","4.214285714285714","3.909090909090909","3.6296296296296298","5.074074074074074","3.2962962962962963","0.03225806451612903","2.1794523809523807","24.312191358024688","125.90751737012727","7.","5.392857142857143","5.25","3.9642857142857144","0.10714285714285714","257.4601695402299","29.48268243379685","579.587212763839","0.9275808936825886","0.7551020408163265"
32,489065,2014,"511129","6257502","6200","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","27.5","0.","0.012732365673542143","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","2","18","7","0","0","3.055555","0.3888888888888889","0.","13.8199","794.1","2","13.152484","58.760532","6.739130434782608","5.275862068965517","5.428571428571429","4.136363636363637","3.857142857142857","4.428571428571429","3.7142857142857144","0.","0.600238095238095","24.1302976190476","0.5990247263501856","7.166666666666667","4.928571428571429","5.380952380952381","4.023809523809524","0.7142857142857143","259.9438988095238","18.011799243000002","455.74122807017557","0.7619617224880383","0.7477876106194691","6.857142857142857","4.909090909090909","5.","4.","4.","4.6","3.4","0.","2.982270833333333","24.576458333333328","233.4720568513694","7.066666666666666","5.","5.8","3.8666666666666667","0.13333333333333333","227.53299479166668","42.42800756166434","1084.504121863799","0.8","0.6666666666666666"
32,489069,2014,"511139","6257442","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","15.","15.278838808250573","48.38298955946014","1.9098548510313216","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","5","30","15","3","1","3.333333","0.5","0.1","13.8199","794.1","2","20.183308","44.701729","6.2592592592592595","4.5","2.5925925925925926","2.7777777777777777","3.","8.11111111111111","0.8888888888888888","0.","0.2369135802469135","17.8585185185185","8.53615495830808","6.222222222222222","5.037037037037037","2.7777777777777777","3.","0.037037037037037035","317.63728395061736","7.713538700314888","144.72807070707077","1.0714285714285714","1.08","6.703703703703703","4.5625","3.3684210526315788","3.8333333333333335","3.4","6.28","2.32","0.034482758620689655","2.3747023809523813","22.91158333333333","163.08625637897273","6.703703703703703","5.185185185185185","4.481481481481482","3.6296296296296298","0.037037037037037035","255.8110386904762","324.9448905276698","7193.295755757577","1.1380208333333333","0.8099173553719008"
32,489077,2014,"511179","6257392","6230","{6230}","5.1","mv","mv","mv","mv","mv","mv","mv","mv","mv","2.2","0.12","18.333333333333336","mv","mv","mv","mv","mv","mv","mv","40.","19.098548510313215","3.819709702062643","0.6366182836771072","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","9","83","39","5","5","3.168674","0.46987951807228917","0.060240963855421686","13.8199","794.1","2","11.753649","46.238853","7.","6.76595744680851","4.606060606060606","3.738095238095238","5.117647058823529","4.117647058823529","2.764705882352941","0.","0.9471964285714286","18.96909195402299","2.094144828373198","7.03921568627451","6.705882352941177","5.078431372549019","4.","0.1568627450980392","279.17398214285726","152.2445327981822","1736.1775737979306","0.8115601503759399","0.7876447876447876","6.837837837837838","5.984126984126984","5.133333333333334","4.313432835820896","4.4520547945205475","4.780821917808219","2.767123287671233","0.012048192771084338","1.1644761904761904","24.220238095238095","20.389231856874257","6.894736842105263","5.9605263157894735","5.578947368421052","4.355263157894737","0.13157894736842105","242.1594203667954","181.09079495024775","3340.621480442304","0.8402791238612134","0.7806603773584906"
32,489079,2014,"511182","6257413","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","30.","0.","3.1830914183855357","0.6366182836771072","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","8","60","31","4","2","3.5","0.5166666666666667","0.06666666666666667","13.8199","794.1","2","9.507303","37.844257","6.25","5.857142857142857","5.428571428571429","3.736842105263158","3.6315789473684212","4.894736842105263","3.473684210526316","0.","0.6046052631578945","22.04845945945944","0.695722090656955","7.078947368421052","5.447368421052632","5.157894736842105","4.2631578947368425","0.8421052631578947","275.9994890350877","29.011181594828326","612.3553289473684","0.6883656509695291","0.826530612244898","6.927272727272728","6.425531914893617","4.352941176470588","3.86","3.709090909090909","5.5636363636363635","2.727272727272727","0.","1.4584315476190477","22.65400340136054","65.85611781258605","6.862068965517241","6.310344827586207","5.155172413793103","3.9482758620689653","0.1206896551724138","256.57360565476193","91.68379196993806","1382.448268841642","0.8867567567567568","0.7658862876254181"
50,489725,2014,"594979","6231912","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","5.","2.5464731347084286","7.639419404125286","38.19709702062643","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","5","28","14","2","2","3.642857","0.5","0.07142857142857142","12.0871","664.3","4","33.693565","6.239709","6.222222222222222","4.333333333333333","2.4347826086956523","3.111111111111111","2.814814814814815","8.148148148148149","1.037037037037037","0.","0.2304938271604937","20.729466666666646","0.3823415824826039","6.148148148148148","5.2592592592592595","2.740740740740741","3.074074074074074","0.","300.8891666666667","5.616684905422837","134.74197530864205","1.2777777777777777","1.1216216216216217","6.6","4.6875","3.7333333333333334","3.3636363636363638","2.814814814814815","6.481481481481482","2.7037037037037037","0.03571428571428571","2.2862202380952383","23.33347826086956","163.02791413760556","6.7407407407407405","5.185185185185185","4.703703703703703","3.4814814814814814","0.07407407407407407","237.5886058201058","34.17471542711923","758.5801157161803","0.900974025974026","0.7401574803149606"
50,489728,2014,"594989","6232082","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","20.","5.092946269416857","50.92946269416857","12.732365673542143","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","4","17","9","3","1","3.823529","0.5294117647058824","0.17647058823529413","12.0871","664.3","4","33.903717","238.241409","6.380952380952381","5.","2.0476190476190474","2.8095238095238093","3.4285714285714284","8.571428571428571","0.","0.","0.18444444444444422","16.26280701754383","0.4780723520808082","6.107142857142857","5.428571428571429","3.2142857142857144","3.642857142857143","0.","314.9557142857143","3.813018660200001","67.43690476190477","1.372093023255814","1.1333333333333333","7.0625","4.444444444444445","3.888888888888889","3.2857142857142856","3.533333333333333","6.933333333333334","1.5333333333333334","0.058823529411764705","3.2239583333333335","22.02404761904761","275.0216215090722","6.666666666666667","5.133333333333334","4.733333333333333","3.466666666666667","0.06666666666666667","242.17302083333334","60.77562411911278","1155.962604166666","0.8448979591836735","0.7323943661971831"
50,489730,2014,"595039","6232482","6230","{6230}","3.8","mv","mv","mv","mv","mv","mv","mv","mv","mv","1.9","0.15","12.666666666666666","mv","mv","mv","mv","mv","mv","mv","30.","0.","25.464731347084285","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","5","26","12","2","0","3.692307","0.46153846153846156","0.07692307692307693","12.0871","664.3","4","33.487812","254.890778","6.482758620689655","5.","2.68","3.6666666666666665","3.7419354838709675","6.645161290322581","1.6129032258064515","0.","0.32199999999999984","22.656444444444425","0.8683748989818179","6.161290322580645","5.096774193548387","3.2580645161290325","3.6451612903225805","0.12903225806451613","288.930388888889","20.712294890633306","448.97405555555594","1.3681592039800996","1.118811881188119","6.545454545454546","4.5","4.428571428571429","3.35","3.7916666666666665","5.791666666666667","2.4166666666666665","0.","2.567361111111111","24.675873015873012","162.65482452120597","6.708333333333333","4.916666666666667","5.25","3.7916666666666665","0.16666666666666666","249.14090029761905","49.36891671740377","1032.270173611111","0.7564516129032258","0.7222222222222222"
50,489731,2014,"595059","6231862","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","10.","25.464731347084285","12.732365673542143","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","6","60","21","3","4","2.966666","0.35","0.05","12.0871","664.3","4","12.019934","87.362495","6.870967741935484","5.25","4.655172413793103","4.607142857142857","4.76","3.8","3.44","0.02","0.6348749999999999","25.58770833333333","0.3383821190459522","6.58","5.22","5.32","4.82","0.46","238.88400000000001","28.30507418139166","573.98191875","0.9896825396825397","0.9060150375939849","6.673076923076923","4.681818181818182","5.","4.521739130434782","3.7222222222222223","5.222222222222222","3.0555555555555554","0.04918032786885246","2.3479413580246917","25.414079365079363","111.56003145573973","6.666666666666667","5.017543859649122","5.7368421052631575","4.456140350877193","0.07017543859649122","233.77540590659342","181.0895908806756","4238.118994892472","0.9043478260869565","0.7767584097859327"
50,489735,2014,"595159","6232172","6230","{6230}","3.7","mv","mv","mv","mv","mv","mv","mv","mv","mv","1.6","0.11","14.545454545454547","mv","mv","mv","mv","mv","mv","mv","22.5","6.366182836771071","0.","25.464731347084285","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","8","25","16","3","0","3.92","0.64","0.12","12.0871","664.3","4","34.689003","111.756844","6.4","5.142857142857143","3.1538461538461537","3.2","3.2666666666666666","7.266666666666667","1.4666666666666666","0.","0.36305555555555535","19.205722222222196","0.5701633600207789","6.466666666666667","4.9","3.533333333333333","3.433333333333333","0.3333333333333333","297.0210277777779","17.784055476965555","272.9811944444445","1.0146341463414634","0.9716981132075472","6.913043478260869","4.357142857142857","3.466666666666667","2.95","3.090909090909091","7.590909090909091","1.3181818181818181","0.","3.096766666666666","22.343373015873016","189.47997804740078","6.826086956521739","5.043478260869565","4.608695652173913","3.0869565217391304","0.08695652173913043","275.9662152777778","42.45089414765143","756.9015112443777","0.8509615384615384","0.6698113207547169"
